attribute,aggregation_function
articleRankScore,avg
betweennessScore,avg
born,avg
closenessScore,avg
degreeScore,avg
eigenvectorScore,avg
opponent advanced goalkeeping_# pl,sum
opponent advanced goalkeeping_90s,max
opponent advanced goalkeeping_ga,sum
opponent advanced goalkeeping_pka,sum
opponent defensive_# pl,sum
opponent defensive_90s,max
opponent defensive_int,sum
opponent defensive_tackles tklw,sum
opponent goal and shot creation_# pl,sum
opponent goal and shot creation_90s,max
opponent goalkeeping_# pl,sum
opponent goalkeeping_90s,max
opponent goalkeeping_cs,sum
opponent goalkeeping_cs%,max
opponent goalkeeping_d,sum
opponent goalkeeping_ga,sum
opponent goalkeeping_ga90,max
opponent goalkeeping_l,sum
opponent goalkeeping_min,avg
opponent goalkeeping_mp,sum
opponent goalkeeping_pka,sum
opponent goalkeeping_pkatt,sum
opponent goalkeeping_pkm,sum
opponent goalkeeping_pksv,sum
opponent goalkeeping_save%,max
opponent goalkeeping_saves,sum
opponent goalkeeping_sota,sum
opponent goalkeeping_starts,sum
opponent goalkeeping_w,sum
opponent misc_# pl,sum
opponent misc_2crdy,sum
opponent misc_90s,max
opponent misc_crdr,sum
opponent misc_crdy,sum
opponent misc_crs,sum
opponent misc_fld,sum
opponent misc_fls,sum
opponent misc_int,sum
opponent misc_off,sum
opponent misc_og,sum
opponent misc_tklw,sum
opponent pass types_# pl,sum
opponent pass types_90s,max
opponent pass types_pass types crs,avg
opponent passing_# pl,sum
opponent passing_90s,max
opponent passing_ast,avg
opponent playing time_# pl, sum
opponent playing time_+/-,avg
opponent playing time_+/-90,max
opponent playing time_90s,max
opponent playing time_age,avg
opponent playing time_compl,max
opponent playing time_min,sum
opponent playing time_min%,max
opponent playing time_mn/mp,avg
opponent playing time_mn/start,avg
opponent playing time_mn/sub,avg
opponent playing time_mp,avg
opponent playing time_ong,sum
opponent playing time_onga,sum
opponent playing time_ppm,avg
opponent playing time_starts,avg
opponent playing time_subs,sum
opponent playing time_unsub,sum
opponent possession_# pl,sum
opponent possession_90s,max
opponent possession_poss,avg
opponent shooting_# pl,sum
opponent shooting_90s,max
opponent shooting_g/sh,max
opponent shooting_g/sot,max
opponent shooting_gls,sum
opponent shooting_pk,sum
opponent shooting_pkatt,sum
opponent shooting_sh,sum
opponent shooting_sh/90,max
opponent shooting_sot,sum
opponent shooting_sot%,max
opponent shooting_sot/90,max
opponent standard_# pl,sum
opponent standard_90ast,max
opponent standard_90g+a,max
opponent standard_90g+a-pk,max
opponent standard_90g-pk,max
opponent standard_90gls,max
opponent standard_90s,max
opponent standard_age,avg
opponent standard_ast,sum
opponent standard_crdr,sum
opponent standard_crdy,sum
opponent standard_g+a,sum
opponent standard_g-pk,sum
opponent standard_gls,sum
opponent standard_min,sum
opponent standard_mp,avg
opponent standard_pk,avg
opponent standard_pkatt,avg
opponent standard_poss,avg
opponent standard_starts,avg
pageRankScore,avg
squad advanced goalkeeping_# pl,sum
squad advanced goalkeeping_90s,max
squad advanced goalkeeping_ga,sum
squad advanced goalkeeping_pka,sum
squad defensive_# pl,sum
squad defensive_90s,max
squad defensive_int,sum
squad defensive_tackles tklw,sum
squad goal and shot creation_# pl,sum
squad goal and shot creation_90s,max
squad goalkeeping_# pl,sum
squad goalkeeping_90s,max
squad goalkeeping_cs,sum
squad goalkeeping_cs%,max
squad goalkeeping_d,sum
squad goalkeeping_ga,sum
squad goalkeeping_ga90,max
squad goalkeeping_l,sum
squad goalkeeping_min,avg
squad goalkeeping_mp,sum
squad goalkeeping_pka,sum
squad goalkeeping_pkatt,sum
squad goalkeeping_pkm,sum
squad goalkeeping_pksv,sum
squad goalkeeping_save%,max
squad goalkeeping_saves,sum
squad goalkeeping_sota,sum
squad goalkeeping_starts,sum
squad goalkeeping_w,sum
squad misc_# pl,sum
squad misc_2crdy,sum
squad misc_90s,max
squad misc_crdr,sum
squad misc_crdy,sum
squad misc_crs,sum
squad misc_fld,sum
squad misc_fls,sum
squad misc_int,sum
squad misc_off,sum
squad misc_og,sum
squad misc_tklw,sum
squad pass types_# pl,sum
squad pass types_90s,max
squad pass types_pass types crs,avg
squad passing_# pl,sum
squad passing_90s,max
squad passing_ast,avg
squad playing time_# pl, sum
squad playing time_+/-,avg
squad playing time_+/-90,max
squad playing time_90s,max
squad playing time_age,avg
squad playing time_compl,max
squad playing time_min,sum
squad playing time_min%,max
squad playing time_mn/mp,avg
squad playing time_mn/start,avg
squad playing time_mn/sub,avg
squad playing time_mp,avg
squad playing time_ong,sum
squad playing time_onga,sum
squad playing time_ppm,avg
squad playing time_starts,avg
squad playing time_subs,sum
squad playing time_unsub,sum
squad possession_# pl,sum
squad possession_90s,max
squad possession_poss,avg
squad shooting_# pl,sum
squad shooting_90s,max
squad shooting_g/sh,max
squad shooting_g/sot,max
squad shooting_gls,sum
squad shooting_pk,sum
squad shooting_pkatt,sum
squad shooting_sh,sum
squad shooting_sh/90,max
squad shooting_sot,sum
squad shooting_sot%,max
squad shooting_sot/90,max
squad standard_# pl,sum
squad standard_90ast,max
squad standard_90g+a,max
squad standard_90g+a-pk,max
squad standard_90g-pk,max
squad standard_90gls,max
squad standard_90s,max
squad standard_age,avg
squad standard_ast,sum
squad standard_crdr,sum
squad standard_crdy,sum
squad standard_g+a,sum
squad standard_g-pk,sum
squad standard_gls,sum
squad standard_min,sum
squad standard_mp,avg
squad standard_pk,avg
squad standard_pkatt,avg
squad standard_poss,avg
