column,action,reason,null_ratio,distinct_ratio,dtype_before
Movie_imdbRating,kept_scaled,,0.31360486952017097,0.006886792452830188,float64
Movie_imdbVotes,kept_scaled,,0.31425241209609533,0.45760151085930123,float64
Movie_year,kept_scaled,,0.31146797901962053,0.009686824038371109,float64
Movie_budget,dropped,null_ratio>thr,0.702259923589976,0.10852544584602,float64
Movie_runtime,kept_scaled,,0.31399339506572554,0.019350575797621294,float64
Movie_revenue,dropped,null_ratio>thr,0.6872369358285307,0.5175983436853002,float64
ACTED_IN__neighbor__sum_budget,kept_scaled,,0.44311338470504436,0.235,float64
ACTED_IN__neighbor__sum_runtime,kept_scaled,,0.00492132357702519,0.09227565562569141,float64
ACTED_IN__neighbor__sum_imdbRating,kept_scaled,,0.004597552289063006,0.09692948217538382,float64
ACTED_IN__neighbor__sum_imdbVotes,kept_scaled,,0.005245094864987373,0.6130061189949225,float64
ACTED_IN__neighbor__sum_year,kept_scaled,,0.002590170303697468,0.131467895864442,float64
ACTED_IN__neighbor__sum_revenue,kept_scaled,,0.4270543288221201,0.6480560578661845,float64
DIRECTED__neighbor__sum_imdbRating,dropped,null_ratio>thr,0.9685941850676681,0.5237113402061856,float64
DIRECTED__neighbor__sum_imdbVotes,dropped,null_ratio>thr,0.9685941850676681,0.9670103092783505,float64
DIRECTED__neighbor__sum_runtime,dropped,null_ratio>thr,0.968723693582853,0.5755693581780539,float64
DIRECTED__neighbor__sum_year,dropped,null_ratio>thr,0.9684646765524834,0.5482546201232033,float64
DIRECTED__neighbor__sum_budget,dropped,null_ratio>thr,0.9812860195557858,0.7612456747404844,float64
DIRECTED__neighbor__sum_revenue,dropped,null_ratio>thr,0.9803794599494917,0.9801980198019802,float64
