column,action,reason,null_ratio,distinct_ratio,dtype_before
ACTED_IN__neighbor__sum_imdbRating,dropped,null_ratio>thr,0.8809582009288682,0.5728952772073922,float64
ACTED_IN__neighbor__sum_imdbVotes,dropped,null_ratio>thr,0.8812026399413346,0.9670781893004116,float64
ACTED_IN__neighbor__sum_revenue,dropped,null_ratio>thr,0.9252016621852848,0.9673202614379085,float64
DIRECTED__neighbor__sum_imdbRating,kept_scaled,,0.0068442923490589095,0.19123800147674133,float64
DIRECTED__neighbor__sum_imdbVotes,kept_scaled,,0.007333170373991689,0.8842649593696134,float64
ACTED_IN__neighbor__sum_budget,dropped,null_ratio>thr,0.9244683451478856,0.8478964401294499,float64
DIRECTED__neighbor__sum_budget,kept_scaled,,0.4409679784893669,0.3944031482291211,float64
DIRECTED__neighbor__sum_revenue,kept_scaled,,0.4179907113175263,0.9088618227635448,float64
out_id,dropped,unwanted,not analyzed,not analyzed,Int64
ACTED_IN__neighbor__sum_year,dropped,correlated,not analyzed,not analyzed,float64
DIRECTED__neighbor__sum_runtime,dropped,correlated,not analyzed,not analyzed,float64
DIRECTED__neighbor__sum_year,dropped,correlated,not analyzed,not analyzed,float64
