column,action,reason,null_ratio,distinct_ratio,dtype_before
probably_same_officer_as,kept_scaled,,0.0,1.166838451216429e-05,int64
same_as,kept_scaled,,0.0,2.592974336036509e-06,int64
same_id_as,kept_scaled,,0.0,2.592974336036509e-06,int64
same_name_as,kept_scaled,,0.0,3.889461504054764e-06,int64
similar,kept_scaled,,0.0,7.908571724911353e-05,int64
underlying,kept_scaled,,0.0,6.482435840091272e-06,int64
out_id,dropped,unwanted,not analyzed,not analyzed,Int64
intermediary_of__neighbor__sum_node_id,dropped,unwanted,not analyzed,not analyzed,float64
officer_of__neighbor__sum_node_id,dropped,unwanted,not analyzed,not analyzed,float64
registered_address__neighbor__sum_node_id,dropped,unwanted,not analyzed,not analyzed,float64
similar__neighbor__sum_node_id,dropped,unwanted,not analyzed,not analyzed,float64
underlying__neighbor__sum_node_id,dropped,unwanted,not analyzed,not analyzed,float64
same_name_as__neighbor__sum_node_id,dropped,unwanted,not analyzed,not analyzed,float64
probably_same_officer_as__neighbor__sum_node_id,dropped,unwanted,not analyzed,not analyzed,float64
officer_of__neighbor__sum_icij_id,dropped,unwanted,not analyzed,not analyzed,float64
same_as__neighbor__sum_node_id,dropped,unwanted,not analyzed,not analyzed,float64
