column,action,reason,null_ratio,distinct_ratio,dtype_before
Team_betweennessScore,kept,,0.0,0.08163265306122448,float64
Team_pagerank,kept,,0.0,0.7026239067055393,float64
Team_eigenvectorScore,kept,,0.0,0.06705539358600583,float64
Team_closenessScore,kept,,0.0,0.0058309037900874635,float64
Team_degreeScore,kept,,0.0,0.0058309037900874635,float64
Team_teamID,dropped,null_ratio>thr,0.9504373177842566,0.8235294117647058,float64
TEAM_STATS_IN_LEAGUE__neighbor__avg_pagerank,kept,,0.0,0.12536443148688048,float64
TEAM_STATS_IN_LEAGUE__neighbor__avg_eigenvectorScore,kept,,0.0,0.12536443148688048,float64
TEAM_STATS_IN_LEAGUE__neighbor__avg_degreeScore,kept,,0.0,0.0029154518950437317,float64
TEAM_STATS_IN_LEAGUE__neighbor__avg_closenessScore,kept,,0.0,0.026239067055393587,float64
TEAM_STATS_IN_LEAGUE__neighbor__avg_betweennessScore,kept,,0.0,0.12536443148688048,float64
TEAM_STATS_IN_LEAGUE__neighbor__avg_articleRankScore,kept,,0.0,0.12536443148688048,float64
TEAM_STATS_IN_LEAGUE__rel__avg_opponent misc_2crdy,kept,,0.0,0.03206997084548105,float64
TEAM_STATS_IN_LEAGUE__rel__avg_opponent playing time_mn/sub,kept,,0.0,0.061224489795918366,float64
TEAM_STATS_IN_LEAGUE__rel__avg_squad misc_fld,kept,,0.0,0.7055393586005831,float64
TEAM_STATS_IN_LEAGUE__rel__avg_squad shooting_pkatt,kept,,0.0,0.061224489795918366,float64
TEAM_STATS_IN_LEAGUE__rel__avg_squad standard_90g+a-pk,kept,,0.0,0.5335276967930029,float64
TEAM_STATS_IN_LEAGUE__rel__avg_squad playing time_mn/sub,kept,,0.0,0.08163265306122448,float64
TEAM_STATS_IN_LEAGUE__rel__avg_opponent standard_90ast,kept,,0.0,0.3848396501457726,float64
TEAM_STATS_IN_LEAGUE__rel__avg_squad goalkeeping_pkm,kept,,0.0,0.014577259475218658,float64
TEAM_STATS_IN_LEAGUE__rel__avg_opponent goalkeeping_cs%,kept,,0.0,0.33819241982507287,float64
TEAM_STATS_IN_LEAGUE__rel__avg_squad misc_og,kept,,0.0,0.026239067055393587,float64
TEAM_STATS_IN_LEAGUE__rel__avg_squad playing time_subs,kept,,0.0,0.43731778425655976,float64
TEAM_STATS_IN_LEAGUE__rel__avg_opponent advanced goalkeeping_90s,kept,,0.0,0.08746355685131195,float64
TEAM_STATS_IN_LEAGUE__rel__avg_opponent advanced goalkeeping_# pl,kept,,0.0,0.023323615160349854,float64
TEAM_STATS_IN_LEAGUE__rel__avg_squad shooting_sh/90,kept,,0.0,0.8017492711370262,float64
TEAM_STATS_IN_LEAGUE__rel__avg_squad goalkeeping_sota,kept,,0.0,0.5014577259475219,float64
TEAM_STATS_IN_LEAGUE__rel__avg_squad goalkeeping_cs%,kept,,0.0,0.3673469387755102,float64
TEAM_STATS_IN_LEAGUE__rel__avg_squad defensive_tackles tklw,kept,,0.0,0.6793002915451894,float64
TEAM_STATS_IN_LEAGUE__rel__avg_squad misc_crdy,kept,,0.0,0.34110787172011664,float64
TEAM_STATS_IN_LEAGUE__rel__avg_opponent passing_ast,kept,,0.0,0.21282798833819241,float64
TEAM_STATS_IN_LEAGUE__rel__avg_squad playing time_unsub,kept,,0.0,0.5918367346938775,float64
TEAM_STATS_IN_LEAGUE__rel__avg_opponent playing time_ppm,kept,,0.0,0.4489795918367347,float64
TEAM_STATS_IN_LEAGUE__rel__avg_opponent goalkeeping_pksv,kept,,0.0,0.023323615160349854,float64
TEAM_STATS_IN_LEAGUE__rel__avg_opponent playing time_mn/mp,kept,,0.0,0.02040816326530612,float64
TEAM_STATS_IN_LEAGUE__rel__avg_opponent defensive_# pl,kept,,0.0,0.10787172011661808,float64
TEAM_STATS_IN_LEAGUE__rel__avg_opponent playing time_onga,kept,,0.0,0.27405247813411077,float64
