rootId,Movie_revenue,Movie_imdbRating,Movie_imdbVotes,Movie_year,Movie_budget,Movie_runtime
0,373554033.0,8.3,591836.0,1995.0,30000000.0,81.0
5,262797249.0,6.9,198355.0,1995.0,65000000.0,104.0
7,,6.6,18615.0,1995.0,,101.0
8,81452156.0,5.6,7210.0,1995.0,16000000.0,124.0
11,76578911.0,5.9,25938.0,1995.0,,106.0
12,187436818.0,8.2,416316.0,1995.0,60000000.0,170.0
15,53672080.0,6.2,29091.0,1995.0,58000000.0,127.0
17,23920048.0,5.6,7224.0,1995.0,,97.0
18,64350171.0,5.7,24978.0,1995.0,35000000.0,111.0
19,352194034.0,7.2,194676.0,1995.0,58000000.0,130.0
20,107879496.0,6.8,41983.0,1995.0,62000000.0,114.0
21,,5.8,29321.0,1995.0,,88.0
22,11348324.0,7.1,29277.0,1995.0,,78.0
24,13681765.0,7.1,23508.0,1995.0,44000000.0,192.0
25,10017322.0,5.6,20522.0,1995.0,98000000.0,124.0
26,116112375.0,8.2,320118.0,1995.0,52000000.0,178.0
27,134582776.0,7.7,76082.0,1995.0,16000000.0,136.0
28,4257354.0,6.7,75952.0,1995.0,4000000.0,98.0
29,212385533.0,6.3,155200.0,1995.0,30000000.0,90.0
30,77224232.0,5.6,31488.0,1995.0,68000000.0,110.0
31,115101622.0,6.9,61591.0,1995.0,30250000.0,105.0
32,,6.6,41335.0,1995.0,,123.0
34,30303072.0,6.3,60996.0,1995.0,50000000.0,132.0
35,,6.5,23715.0,1995.0,,111.0
36,49800000.0,7.6,91469.0,1995.0,3600000.0,111.0
38,,7.0,7241.0,1995.0,,123.0
39,27400000.0,6.7,21002.0,1995.0,12000000.0,100.0
40,,7.7,8758.0,1995.0,,107.0
41,1738611.0,7.7,54490.0,1995.0,18000000.0,112.0
42,,7.2,4140.0,1995.0,2300000.0,108.0
43,179519401.0,6.4,37045.0,1995.0,23000000.0,99.0
44,168840000.0,8.1,446779.0,1995.0,29500000.0,129.0
45,254134910.0,6.8,91870.0,1995.0,30000000.0,91.0
46,,6.9,4351.0,1995.0,,121.0
47,39363635.0,7.6,71231.0,1995.0,11000000.0,122.0
48,16015639.0,6.6,203.0,1995.0,,51.0
50,,5.7,14602.0,1995.0,,101.0
52,56631572.0,6.8,116376.0,1995.0,12000000.0,97.0
53,676525.0,6.9,1399.0,1995.0,,106.0
54,2748518.0,7.5,11297.0,1995.0,,104.0
55,24147179.0,6.8,14749.0,1995.0,10000000.0,119.0
57,,6.7,7423.0,1995.0,19000000.0,117.0
58,122195920.0,5.8,79687.0,1995.0,18000000.0,101.0
59,21284514.0,6.8,33928.0,1995.0,20000000.0,106.0
60,23574130.0,6.2,8258.0,1995.0,10000000.0,109.0
61,327311859.0,8.6,981458.0,1995.0,33000000.0,127.0
62,346079773.0,6.6,113939.0,1995.0,55000000.0,81.0
64,,6.8,5192.0,1995.0,,94.0
65,23341568.0,8.6,711361.0,1995.0,6000000.0,106.0
66,6700000.0,7.1,30824.0,1995.0,15000000.0,95.0
67,,7.6,1714.0,1994.0,,116.0
68,,5.4,6671.0,1995.0,,100.0
69,,6.4,2307.0,1995.0,,115.0
70,17519169.0,6.6,8945.0,1995.0,,103.0
71,,7.8,25355.0,1994.0,,108.0
72,,7.6,1347.0,1995.0,,100.0
73,,5.9,20201.0,1995.0,45000000.0,96.0
74,26877589.0,6.1,9441.0,1996.0,20000000.0,101.0
75,106269971.0,7.3,29633.0,1995.0,23000000.0,143.0
76,,6.6,37036.0,1996.0,,89.0
77,10658278.0,5.2,4448.0,1996.0,,96.0
78,,4.3,21048.0,1996.0,15000000.0,88.0
79,2409225.0,2.4,7798.0,1996.0,,93.0
80,,6.4,3674.0,1995.0,,104.0
81,28215918.0,7.3,71667.0,1995.0,3500000.0,91.0
82,25836616.0,7.3,212165.0,1996.0,19000000.0,108.0
83,11534477.0,4.1,9973.0,1995.0,50000000.0,91.0
84,718490.0,7.1,6885.0,1995.0,,96.0
85,,7.5,3151.0,1995.0,,175.0
86,19030691.0,6.0,6660.0,1996.0,,87.0
87,5781885.0,6.4,19542.0,1995.0,20000000.0,108.0
88,,7.3,534.0,1995.0,,67.0
89,,6.4,10337.0,1995.0,,111.0
90,22754725.0,5.6,13707.0,1996.0,44000000.0,118.0
91,,7.8,4509.0,1995.0,,85.0
92,529766.0,6.8,21912.0,1995.0,8000000.0,115.0
93,,7.5,6659.0,1995.0,900000.0,102.0
94,,7.3,411.0,1995.0,,115.0
